state,city,project_name,domain,status,amount_raw,amount_usd,description
Michigan,Ferndale,Street and Sidewalk Projects,Transport Emissions,In Progress,Not stated,,"Ongoing work on street and sidewalk infrastructure aims to improve urban mobility and pedestrian access, contributing to reduced transport emissions."
Michigan,Ferndale,Southeastern Oakland County Resource Recovery Authority,Waste Management,In Progress,"$2,496,529",2496529.0,The City is a member of this joint venture that provides refuse collection and disposal services for member municipalities.
Michigan,Ferndale,Street improvements and other land improvement projects,Transport Emissions,In Progress,"$2,534,544",2534544.0,"Contracts for street improvements and other land improvement projects were outstanding and not complete at year-end, contributing to transport infrastructure."
Michigan,Ferndale,Safe Streets and Roads for All,Transport Emissions,Completed,"$197,093",197093.0,"This federal program funds initiatives to improve road safety, which often includes infrastructure for pedestrians, cyclists, or traffic signal upgrades, contributing to reduced transport emissions."
Michigan,Birmingham,Traffic signal mast arms,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Modernizing traffic signals improves traffic flow and reduces vehicle idling, contributing to lower transport emissions."
Michigan,Birmingham,Cape seal projects,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Road surface improvements enhance transit infrastructure, contributing to smoother and more efficient transportation."
Michigan,Birmingham,S. Eton road improvements,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Road improvements enhance transit infrastructure, contributing to smoother and more efficient transportation."
Michigan,Birmingham,Wimbleton road improvements,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Road improvements enhance transit infrastructure, contributing to smoother and more efficient transportation."
Michigan,Birmingham,Bird road improvements,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Road improvements enhance transit infrastructure, contributing to smoother and more efficient transportation."
Michigan,Birmingham,Abbey road improvements,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Road improvements enhance transit infrastructure, contributing to smoother and more efficient transportation."
Michigan,Birmingham,Sidewalk improvements,Transport Emissions,Planned,Not stated (part of $10.6 million total for road and sidewalk improvements),,"Improving sidewalks enhances pedestrian paths, promoting active transport and reducing reliance on vehicles, thus lowering transport emissions."
Michigan,Birmingham,Sewer improvements,Waste Management,In Progress,"$5,339,240 Spent to Date, $2,000,582 Remaining Commitment",7339822.0,Ongoing upgrades and maintenance of the city's sewage collection system.
Michigan,Birmingham,Streets,Transport Emissions,In Progress,"$7,412,279 Spent to Date, $4,366,622 Remaining Commitment",11778901.0,Ongoing upgrades and maintenance of the city's road network to improve traffic flow and potentially reduce emissions.
Michigan,Birmingham,Sidewalks and alleys,Transport Emissions,In Progress,"$1,512,314 Spent to Date, $400,085 Remaining Commitment",1912399.0,Ongoing construction and improvement of pedestrian infrastructure.
Michigan,Birmingham,Parking structures,Transport Emissions,In Progress,"$4,781,483 Spent to Date, $3,338,422 Remaining Commitment",8119905.0,"Ongoing construction and maintenance of facilities for vehicle parking, influencing urban transport."
Michigan,Birmingham,Streetlights,Energy Efficiency,In Progress,"$168,451 Spent to Date, $10,565 Remaining Commitment",179016.0,"Ongoing upgrades or installation of street lighting infrastructure, potentially including energy-efficient technologies like LEDs."
Michigan,Birmingham,Construction of combined sewer overflow retention basins and sewer interceptor lines,Waste Management,Completed,"$5,834,286 (net of 2016 defeasance)",5834286.0,Construction project financed by bonds to manage wastewater and prevent sewer overflows.
Michigan,Birmingham,Southeastern Oakland County Resource Recovery Authority,Waste Management,In Progress,"$2,014,268",2014268.0,The City expensed payments to this authority for ongoing refuse disposal services for member municipalities.
Michigan,Birmingham,Solid Waste Disposal Fund,Waste Management,In Progress,"$2,369,075",2369075.0,This fund covers the ongoing operational expenditures for solid waste disposal services within the city.
Michigan,East lansing,Hazardous sidewalk improvements,Transport Emissions,Unknown,Not stated,,"This ARPA project involved improvements to hazardous sidewalks, enhancing pedestrian paths."
Michigan,East lansing,Design work for drain improvements and street safety protocols,Transport Emissions,Unknown,Not stated,,This ARPA project included design work for street safety protocols to improve transport emissions related infrastructure.
Michigan,East lansing,Replacement of roof areas at City Hall and the Hannah Community Center (ELHCC),Energy Efficiency,Unknown,Not stated,,"This capital improvement project involved replacing roof areas at City Hall and the ELHCC, expected to improve energy efficiency."
Michigan,East lansing,Replacement of the pool area HVAC equipment at ELHCC,Energy Efficiency,Unknown,Not stated,,This project involved replacing the pool area HVAC equipment at the Hannah Community Center to improve energy efficiency.
Michigan,East lansing,Solar installation at DPW facility,Energy Efficiency,Unknown,Not stated,,Staff are preparing to issue an RFP for a project to install solar panels at the Department of Public Works facility.
Michigan,East lansing,Insulation installation in DPW office facility walls,Energy Efficiency,Unknown,Not stated,,DPW is working on an RFP to install insulation in the walls of the office portion of the facility to increase energy efficiency.
Michigan,East lansing,Purchase of first two plug-in electric vehicles for the fleet,Transport Emissions,Unknown,Not stated,,The City purchased its first two plug-in electric vehicles for the fleet as a pilot for broader adoption and reduced transport emissions.
Michigan,East lansing,Implementation of EGLE Recycling Infrastructure Grant,Waste Management,Unknown,Not stated,,
Michigan,East lansing,replacement of HVAC equipment servicing the Hannah Community Center pool area,Energy Efficiency,In Progress,"$287,000",287000.0,"This project involves replacing HVAC equipment, which directly contributes to energy efficiency."
Michigan,East lansing,boiler and HVAC replacement (City Hall),Energy Efficiency,Completed,Not stated,,"This project involved replacing boilers and HVAC systems in City Hall, improving energy efficiency."
Michigan,East lansing,boiler replacement (East Lansing Hannah Community Center),Energy Efficiency,Completed,Not stated,,"This project involved replacing the boiler at the Hannah Community Center, contributing to energy efficiency."
Michigan,East lansing,improving sidewalk infrastructure,Transport Emissions,In Progress,Not stated,,"This project focuses on enhancing pedestrian paths, promoting non-motorized transport."
Michigan,East lansing,addition of pedestrian islands on Burcham Drive,Transport Emissions,Completed,Not stated,,"This project added pedestrian islands, improving safety and encouraging walking."
Michigan,East lansing,addition of bike lanes on Coolidge Road between Saginaw Highway and Lake Lansing Road,Transport Emissions,Completed,Not stated,,"This project added bike lanes, promoting cycling and reducing transport emissions."
Michigan,East lansing,pedestrian crossing improvements and the addition of bike lanes on Hagadorn Road between the Red Cedar River Bridge and Burcham Drive,Transport Emissions,Completed,Not stated,,"This project improved pedestrian crossings and added bike lanes, enhancing active transport options."
Michigan,East lansing,Street and sidewalk projects,Transport Emissions,In Progress,"Spent to Date $5,484,504, Remaining Commitment $1,617,297",7101801.0,"These projects involve the construction and improvement of streets and sidewalks, which can include pedestrian paths and bike lanes, contributing to reduced transport emissions."
Michigan,East lansing,Burcham Park Remediation,Waste Management,In Progress,Not stated,,"This project involves ongoing remediation efforts at a former public landfill, including the monitoring of a methane extraction system to reduce methane gas from decomposing organic waste."
Michigan,East lansing,Sewage Disposal System,Waste Management,Planned,"$44,855,000",44855000.0,"This project involves the construction or expansion of a sewage disposal system, funded by a bond closed subsequent to year-end."
Michigan,East lansing,Major Streets Fund,Transport Emissions,In Progress,"$3,151,687",3151687.0,"This fund accounts for the maintenance and capital outlay for major streets, which supports efficient transportation and reduces vehicle emissions."
Michigan,East lansing,Local Streets Fund,Transport Emissions,In Progress,"$2,661,334",2661334.0,"This fund accounts for the maintenance and capital outlay for local streets, contributing to efficient local transportation and reducing vehicle emissions."
Michigan,East lansing,Solid Waste Management Fund,Waste Management,In Progress,"$2,567,506",2567506.0,"This fund manages the city's solid waste removal program, including curbside trash collection, recycling services, and landfill costs."
Michigan,East lansing,Pedestrian Trails and Bridges Improvements,Transport Emissions,In Progress,"$849,360",849360.0,"This fund supports capital improvements to pedestrian trails and bridges, promoting active and emission-free transportation."
Michigan,East lansing,Landfill Remediation and Methane Extraction System Installation,Waste Management,In Progress,Not stated,,The City is required to remediate environmental contamination at a former landfill by installing a monitoring and methane extraction system.
Michigan,Hamtramk,Infrastructure roadways and alleys,Transport Emissions,In Progress,"$5,307,907",5307907.0,"This project involved capital additions to the city's road and alley infrastructure, which is essential for transportation and can support efforts to reduce transport emissions."
Michigan,Hamtramk,Improvements to the City’s Water Supply and Sewage Disposal System,Waste Management,In Progress,"$755,000",755000.0,"This project involves improvements to the city's water supply and sewage disposal system, which falls under waste management."
Michigan,Hamtramk,"Water Supply System Junior Lien Revenue Bonds, Series 2022A improvements",Waste Management,In Progress,"$3,510,000",3510000.0,"This project funds improvements to the city's water supply system, which includes infrastructure related to water and potentially wastewater management."
Michigan,Hamtramk,"Water Supply System Junior Lien Revenue Bonds, Series 2022B improvements",Waste Management,In Progress,"$2,730,000",2730000.0,"This project funds improvements to the city's water supply system, which includes infrastructure related to water and potentially wastewater management."
Michigan,Hamtramk,2015 Michigan Finance Authority - Clean Water Program,Waste Management,In Progress,"$6,356,760",6356760.0,"This program focuses on clean water initiatives, which often include wastewater treatment and stormwater management, falling under waste management."
Michigan,Hamtramk,Reconstructing six alleys to reduce incidences of flooding,Transport Emissions,Planned,"$965,000",965000.0,"This project involves reconstructing six alleys to improve transportation, safety, and reduce flooding, addressing density-related transportation challenges."
Michigan,Ann arbor,Solar on City Facilities,Energy Efficiency,In Progress,Not stated,,This project involves installing solar panels and battery storage systems on City facilities to save operating costs and reduce climate pollution.
Michigan,Ann arbor,East Medical Center Bridge Rehabilitation and Widening Project,Transport Emissions,In Progress,$17.1 million,17100000.0,"This project involves rehabilitating and widening the East Medical Center Drive Bridge to enhance traffic flow, aiming to reduce congestion and associated emissions."
Michigan,Ann arbor,Sustainable Energy Utility,Energy Efficiency,Planned,Not stated,,"This initiative will establish a community-owned utility providing 100% renewable energy through local solar, battery storage, and networked geothermal systems."
Michigan,Ann arbor,Fire Station #4 Replacement,Energy Efficiency,Planned,$12.4 million,12400000.0,"This project aims to build the City's first carbon-neutral, net-zero fire station, incorporating geothermal heating/cooling, solar panels, and energy-efficient design."
Michigan,Ann arbor,Landfill Cleanup Capital Projects,Waste Management,Completed,"$28,000,000",28000000.0,"Capital projects associated with the overall landfill cleanup, funded by a series of voter-approved bonds."
Michigan,Ann arbor,Onsite and Interim Offsite Remedial Action Plan (RAP) Implementation,Waste Management,Completed,Not stated,,Implementation of an approved onsite and interim offsite Remedial Action Plan for the landfill.
Michigan,Ann arbor,Slurry Wall Construction (Landfill),Waste Management,Completed,Not stated,,Construction of a nearly two-mile-long slurry wall enclosing most of the landfill as part of the Remedial Action Plan implementation.
Michigan,Ann arbor,Final Remedial Action Plan (RAP) Development and Groundwater Treatment Feasibility Study,Waste Management,In Progress,Not stated,,Development of a final Remedial Action Plan for the landfill and evaluation of the feasibility of treating collected landfill groundwater onsite.
Michigan,Ann arbor,Offsite Remediation Liability (Landfill),Waste Management,In Progress,"$4,233,536",4233536.0,"Accrued liability for offsite remediation efforts related to the landfill, to be funded through the solid waste property tax levy."
Michigan,Ann arbor,Sidewalk construction,Transport Emissions,Unknown,"$3,015,167",3015167.0,"Funds restricted for the construction of sidewalks, which are pedestrian paths that promote walking and reduce transport emissions."
Michigan,Ann arbor,Climate action,Energy Efficiency,Unknown,"$6,989,410",6989410.0,"Funds restricted for initiatives aimed at addressing climate change, which typically include projects related to energy efficiency and emissions reduction."
Michigan,Ann arbor,Energy projects,Energy Efficiency,Unknown,"$35,168",35168.0,"A special revenue fund dedicated to financing City Energy Consumption Improvement projects, such as LEDs, solar, HVAC, and insulation."
Michigan,Ann arbor,Alternative transportation,Transport Emissions,Unknown,"$887,026",887026.0,"Funds committed for projects promoting alternative modes of transportation, such as bike lanes or pedestrian paths, to reduce transport emissions."
Michigan,Ann arbor,City Energy Consumption Improvement Projects,Energy Efficiency,Unknown,Not stated,,"This fund accounts for various projects aimed at improving the City's energy consumption, directly aligning with energy efficiency."
Michigan,Ann arbor,City's Alternative Transportation Program,Transport Emissions,Unknown,Not stated,,"This fund supports the City's program for promoting alternative modes of transportation, directly reducing transport emissions."
Michigan,Ann arbor,Pedestrian Safety Initiatives (funded by County Mental Health Millage),Transport Emissions,Unknown,Not stated,,"Funds from the County Mental Health Millage are allocated to initiatives aimed at improving pedestrian safety, which reduces transport emissions by encouraging walking."
Michigan,Ann arbor,Alternative Transportation Fund Projects,Transport Emissions,In Progress,"$552,522",552522.0,"Expenditures from the Alternative Transportation fund are dedicated to projects promoting alternative transportation methods, such as bike lanes or pedestrian paths."
Michigan,Ann arbor,Sidewalk Construction Millage Projects,Transport Emissions,In Progress,"$994,880",994880.0,"Expenditures from the Sidewalk Construction Millage fund are dedicated to projects for sidewalk construction, directly promoting pedestrian mobility."
Michigan,Ann arbor,Climate Action Millage Capital Projects,Energy Efficiency,In Progress,"$751,773",751773.0,"Capital outlay expenditures from the Climate Action Millage fund are for projects aimed at climate action, likely including energy efficiency or renewable energy initiatives."
Michigan,Ann arbor,Fleet Electrification/Modernization,Transport Emissions,In Progress,"$7,094,802",7094802.0,"Capital expenditures in the Fleet Services internal service fund are likely for modernizing the city's fleet, potentially including electrification efforts to reduce transport emissions."
Michigan,Ann arbor,Smart Intersections,Transport Emissions,In Progress,"$8,910",8910.0,"This project involves research and development for smart intersections, contributing to signal modernization and potentially reducing transport emissions."
Michigan,Ann arbor,Charging and Fueling Infrastructure (CFI) Grant Program,Transport Emissions,In Progress,"$3,154",3154.0,"This grant funds the development of charging and fueling infrastructure, supporting fleet electrification and reduced transport emissions."
