state,city,total,energy_count,energy_usd,transport_count,transport_usd,waste_count,waste_usd,total_usd
Illinois,Algoquin,19,0,,13,24532607.0,6,39018780.0,63551387.0
Illinois,Aurora,8,1,14655000.0,3,6629067.0,4,10384599.0,31668666.0
Illinois,Barrington,10,2,5922272.0,5,2223509.0,3,1896211.0,10041992.0
Illinois,Brookfield,11,1,,6,3961379.0,4,5218040.0,9179419.0
Illinois,Buffalo Grove,7,0,,6,10866423.0,1,924040.0,11790463.0
Illinois,Cary,19,2,21401.0,11,5485443.0,6,7167363.0,12674207.0
Illinois,Chicago,18,2,39300000.0,9,2437876000.0,7,459738000.0,2936914000.0
Illinois,Countryside,2,0,,1,,1,2715.0,2715.0
Illinois,DeKalb,14,0,,14,5782869.0,0,,5782869.0
Illinois,Deer Park,3,2,34696.0,1,1200000.0,0,,1234696.0
Illinois,Deerfield,5,0,,1,3972126.0,4,79493.0,4051619.0
Illinois,Downers Grove,9,4,,4,,1,,
Illinois,Glencoe,5,0,,4,9409141.0,1,154892.0,9564033.0
Illinois,Hawthorn Woods,7,2,104000.0,3,3286496.0,2,2000000.0,5390496.0
Illinois,Highland Park,13,3,,8,1256682.0,2,2704788.0,3961470.0
Illinois,Lake Bluff,13,0,,12,3508077.0,1,2174.0,3510251.0
Illinois,Lincolnwood,2,0,,1,,1,298860.0,298860.0
Illinois,Morton Grove,5,0,,3,619367.0,2,2608454.0,3227821.0
Illinois,Mount Prospect,21,5,486310.0,12,8136302.0,4,13696881.0,22319493.0
Illinois,Naperville,12,2,310000.0,10,12798663.0,0,,13108663.0
Illinois,Park Ridge,5,0,,1,,4,7644531.0,7644531.0
Illinois,Riverside,21,1,,11,10371679.0,9,44600034.0,54971713.0
Illinois,Rolling Meadows,8,0,,5,4877400.0,3,3275468.0,8152868.0
Illinois,Skokie,3,1,,0,,2,,
Illinois,Thornton,9,1,1054680.0,7,239902.0,1,297600.0,1592182.0
Illinois,Vernon Hills,6,1,1058446.0,5,8158440.0,0,,9216886.0
Illinois,Warrenville,3,0,,2,,1,1550000.0,1550000.0
Illinois,Waukegan,7,0,,3,3255605.0,4,41850726.0,45106331.0
Illinois,Wilmette,16,0,,11,14636480.0,5,41142746.0,55779226.0
Michigan,Ann arbor,26,10,20764353.0,11,29915752.0,5,32233536.0,82913641.0
Michigan,Battle Creek,19,3,5995422.0,9,4188763.0,7,42290675.0,52474860.0
Michigan,Birmingham,15,1,179016.0,10,21811205.0,4,17557451.0,39547672.0
Michigan,Detroit,86,21,61149827.0,49,1269469619.0,16,289029417.0,1619648863.0
Michigan,East lansing,23,7,287000.0,11,13764182.0,5,47422506.0,61473688.0
Michigan,Ferndale,4,0,,3,2731637.0,1,2496529.0,5228166.0
Michigan,Grand Rapids,24,9,32673301.0,13,40021395.0,2,,72694696.0
Michigan,Hamtramk,6,0,,2,6272907.0,4,13351760.0,19624667.0
Michigan,Harrison,5,2,918755.0,3,819222.0,0,,1737977.0
Michigan,Highland park,3,0,,0,,3,4351447.0,4351447.0
Michigan,Holland,33,13,19009874.0,4,,16,123207132.0,142217006.0
Michigan,Jackson,16,2,2118404.0,12,14061841.0,2,8282034.0,24462279.0
Michigan,Kalamazoo,13,3,221004.0,5,1886690.0,5,17240065.0,19347759.0
Michigan,Lansing,9,1,,4,10884246.0,4,597863.0,11482109.0
Michigan,Meridian charter township,16,0,,8,14116123.0,8,18591651.0,32707774.0
Michigan,Montague,5,1,,3,1425444.0,1,855.0,1426299.0
Michigan,Muskegon heights,2,1,238914.0,0,,1,766222.0,1005136.0
Michigan,Petoskey,10,4,26615706.0,5,3957247.0,1,507602.0,31080555.0
Michigan,Pittsfield Charter Township,14,0,,8,7795717.0,6,73686258.0,81481975.0
Michigan,Portage,20,0,,14,7469063.0,6,2404284.0,9873347.0
Michigan,Rockford,6,0,,6,1432630.0,0,,1432630.0
Michigan,Royal oak (2),9,0,,8,68968556.0,1,4000000.0,72968556.0
Michigan,Saugatuck,2,0,,1,93947.0,1,4853.0,98800.0
Michigan,Scio Township,8,4,15413200.0,4,427885.0,0,,15841085.0
Michigan,Southfield,11,1,10000.0,6,76581552.0,4,100550157.0,177141709.0
Michigan,Sterling Heights,8,0,,5,95985037.0,3,37509923.0,133494960.0
Michigan,Traverse City,22,9,13460000.0,12,16397045.0,1,,29857045.0
Michigan,West Bloomfield Township,4,0,,3,1986625.0,1,269944.0,2256569.0
Michigan,Westland,5,2,2535329.0,3,22016306.0,0,,24551635.0
Michigan,Ypsilanti,17,1,473321.0,9,500000.0,7,,973321.0
Minnesota,Albert lea,13,4,1928686.0,7,8442041.0,2,80000000.0,90370727.0
Minnesota,Alexandria,9,1,1789246.0,8,3575701.0,0,,5364947.0
Minnesota,Bloomington,23,0,,20,400492624.0,3,10937238.0,411429862.0
Minnesota,Burnsville,14,4,100070523.0,7,11538043.0,3,1355598.0,112964164.0
Minnesota,Coons rapids,21,2,109800.0,16,52029889.0,3,760722.0,52900411.0
Minnesota,Duluth,19,7,4216074.0,12,58401117.0,0,,62617191.0
Minnesota,Eagan,5,3,3543698.0,2,17600000.0,0,,21143698.0
Minnesota,Eden prairie,11,5,28439051.0,3,3340324.0,3,181358.0,31960733.0
Minnesota,Edina,12,4,16191752.0,8,65020255.0,0,,81212007.0
Minnesota,Falcon heights,6,2,34400.0,2,664933.0,2,214053.0,913386.0
Minnesota,Golden valley,12,0,,7,34582023.0,5,3097431.0,37679454.0
Minnesota,Hopkins,9,1,,5,7120000.0,3,5784.0,7125784.0
Minnesota,Inner grove,14,4,655705.0,10,6694698.0,0,,7350403.0
Minnesota,Mankato,24,3,1207277.0,12,22536309.0,9,114039226.0,137782812.0
Minnesota,Maplewood,11,2,12017985.0,7,53412982.0,2,16657.0,65447624.0
Minnesota,Minneapolis,13,3,7087000.0,9,72158359.0,1,13960000.0,93205359.0
Minnesota,Minnetonka,20,0,,18,53697857.0,2,1371471.0,55069328.0
Minnesota,New brighton,16,5,1275000.0,8,28065082.0,3,1737640.0,31077722.0
Minnesota,Red wing,22,2,75000.0,15,43955520.0,5,5977009.0,50007529.0
Minnesota,Richfield,16,2,579292.0,13,21068057.0,1,,21647349.0
Minnesota,Rochester,29,10,138146809.0,15,94566536.0,4,43185000.0,275898345.0
Minnesota,Roseville,8,0,,6,10126404.0,2,,10126404.0
Minnesota,Wayzata,12,1,593845.0,11,9808772.0,0,,10402617.0
Minnesota,cibudget_23_report,23,1,390000.0,4,226000.0,18,672915.0,1288915.0
Wisconsin,Appleton,24,4,2606000.0,13,27497272.0,7,7927004.0,38030276.0
Wisconsin,Ashland,12,0,,6,2720310.0,6,1685470.0,4405780.0
Wisconsin,Brookfield,20,2,1030980.0,10,5501915.0,8,7411419.0,13944314.0
Wisconsin,Burlington,10,2,1147507.0,2,5596616.0,6,16983095.0,23727218.0
Wisconsin,Columbus,6,2,154141.0,0,,4,3359669.0,3513810.0
Wisconsin,Eau Claire,22,2,334762.0,12,12871195.0,8,15649349.0,28855306.0
Wisconsin,Fitchburg,13,2,300697.0,7,1949306.0,4,1616963.0,3866966.0
Wisconsin,Fond du Lac,12,0,,9,6906908.0,3,2169996.0,9076904.0
Wisconsin,Franklin,5,1,2129586.0,3,2844767.0,1,2312470.0,7286823.0
Wisconsin,Green bay,20,2,31860000.0,11,11256325.0,7,7368842.0,50485167.0
Wisconsin,Greenfield,6,0,,2,,4,2309086.0,2309086.0
Wisconsin,La Crosse,6,0,,2,20078000.0,4,75942528.0,96020528.0
Wisconsin,Madison,27,7,6256772.0,12,26424793.0,8,15483133.0,48164698.0
Wisconsin,Menasha,5,0,,1,,4,6988723.0,6988723.0
Wisconsin,Menomonie,3,1,1672.0,0,,2,623244.0,624916.0
Wisconsin,Middleton,2,0,,2,,0,,
Wisconsin,Oregon,9,0,,5,4418651.0,4,25478000.0,29896651.0
Wisconsin,Owen,3,0,,2,2919000.0,1,,2919000.0
Wisconsin,Pewaukee,3,0,,2,64000.0,1,1398666.0,1462666.0
Wisconsin,West Bend,11,1,936998.0,7,2809863.0,3,1405038.0,5151899.0
Wisconsin,Whitehall,7,3,346867.0,0,,4,67366.0,414233.0
